"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H3";"Wire Slot 1";1;"MountingHole";;;
2;"Q2,Q1";"PSMN5R660YLX";2;"PSMN039-100YS,115";;;
3;"IC8";"SOIC127P1030X265-18N";1;"MCP2515T-I_SO";;;
4;"L2";"WE-PD_1260%2f1245%2f1280%2f121054";1;"7447709330‎ 33uH 4.2A 45MOHM";;;
5;"L1";"‎ETQ-P5M101YGC‎ Inductor";1;"97uH 2.7A";;;
6;"C17,C2,C16,C18,C19,C20,C25";"C_0805_2012Metric";7;"0.1uF 25V";;;
7;"IC1";"LGA-14(2.5X3X0.86)";1;"LSM6DS3USTR";;;
8;"R7,R12,R16,R21,R25,R29";"R_0805_2012Metric";6;"10k 5%";;;
9;"R6";"R_0805_2012Metric";1;"68k 5%";;;
10;"R9";"R_0805_2012Metric";1;"330 1%";;;
11;"J3";"Conn_2x8_0.05in";1;"Conn_02x08_Odd_Even";;;
12;"C6";"C_0805_2012Metric";1;"22nF 100V";;;
13;"C7,C15,C28";"C_1210_3225Metric";3;"10uF 100V";;;
14;"C8,C9,C11,C14,C22";"C_0805_2012Metric";5;"0.1uF 100V";;;
15;"C10,C12";"C_0805_2012Metric";2;"2.2nF 100V";;;
16;"C13,C4,C21,C29";"C_0805_2012Metric";4;"1uF 25V";;;
17;"D2,D3,D8,D9";"LED_0805_2012Metric";4;"LEDO";;;
18;"D4,D5,D1";"TO-277A";3;"D_Schottky_AAK";;;
19;"IC3";"TSSOP-8_3x3mm_P0.65mm";1;"MCP4132-502E_SN";;;
20;"IC4";"SOP65P640X110-21N";1;"LM5118MH_NOPB";;;
21;"R1";"R_0805_2012Metric";1;"120 5%";;;
22;"R2";"R_0805_2012Metric";1;"33k 5%";;;
23;"R3,R31,R33,R35";"R_0805_2012Metric";4;"3k3 5%";;;
24;"R4";"R_0805_2012Metric";1;"47k 5%";;;
25;"R5";"R_0805_2012Metric";1;"1k 5%";;;
26;"R8";"R_0805_2012Metric";1;"20k5 1%";;;
27;"R10";"R_0805_2012Metric";1;"47k 1%";;;
28;"R11";"R_0805_2012Metric";1;"22k 1%";;;
29;"R13";"R_0805_2012Metric";1;"36k5 1%";;;
30;"R15";"R_2512_6332Metric";1;"0.3 1% 1W";;;
31;"C5";"C_0805_2012Metric";1;"1uF 100V";;;
32;"C3,C1,C23,C24";"C_0805_2012Metric";4;"10uF 16V";;;
33;"D6";"LED_0805_2012Metric";1;"LEDR";;;
34;"IC2";"MAXM15462AMB";1;"MAXM15062AMB+";;;
35;"J4";"TC2030MCP";1;"TC2030-MCP";;;
36;"J6";"2WirePad";1;"Conn_01x02_Male";;;
37;"R17";"R_0805_2012Metric";1;"1k5 5%";;;
38;"R20,R18";"R_0805_2012Metric";2;"100k 5%";;;
39;"J1,J7";"4 Wire Pad";2;"Conn_01x04_Male";;;
40;"R14";"R_1206_3216Metric";1;"0.03 1% 0.5W";;;
41;"H1";"ThermalPadV2_SkateLight_L";1;"MountingHole_Pad";;;
42;"H2";"ThermalPadV2_SkateLight_R";1;"MountingHole_Pad";;;
43;"R19";"R_0805_2012Metric";1;"4k7 5%";;;
44;"D7,D10";"D_SOD-323";2;"3V6 5%";;;
45;"C26,C27";"C_0805_2012Metric";2;"27pF 25V";;;
46;"D11";"D_SOD-323";1;"D";;;
47;"IC6";"TQFP-32_7x7mm_P0.8mm";1;"ATMEGA328P-AUR";;;
48;"IC7";"SOIC127P600X175-8N";1;"MCP2562-E_SN";;;
49;"IC9";"SOT-23-5";1;"AP2139AK-3.3TRG1";;;
50;"Q3,Q4,Q5";"FDMA410NZ";3;"FDMA410NZ";;;
51;"R22";"R_0805_2012Metric";1;"100k %5";;;
52;"R23";"R_0805_2012Metric";1;"100k 1%";;;
53;"R24";"R_0805_2012Metric";1;"9.09 1%";;;
54;"R26,R27,R28,R37";"R_0805_2012Metric";4;"330 5%";;;
55;"R30,R32,R34";"R_0805_2012Metric";3;"2k2 5%";;;
56;"R36";"R_0805_2012Metric";1;"1k2 5%";;;
57;"Y1";"ECS801830BAGNTR";1;"ECS-80-18-30B-AGN-TR";;;
58;"IC5";"SOIC127P600X170-9N";1;"LMR36520FADDAR";;;
59;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
